,Season,Month,Year,Date,Pressure,Longitude,Latitude,
1,DJF,1,1980,1/1/1980,1020.031058,339.2459896,30.9474311,
2,DJF,1,1980,1/2/1980,1020.039433,340.907192,32.55986734,
3,DJF,1,1980,1/3/1980,1019.958503,340.894905,33.21098737,
4,DJF,1,1980,1/4/1980,1020.279203,334.5431033,31.85222044,
5,DJF,1,1980,1/5/1980,1019.849799,334.6908247,31.133891,
6,DJF,1,1980,1/6/1980,1019.164891,335.0170875,31.00877577,
7,DJF,1,1980,1/7/1980,1018.959676,326.2334563,32.30652248,
8,DJF,1,1980,1/8/1980,1019.790982,324.0582591,32.97667007,
9,DJF,1,1980,1/9/1980,1020.963708,325.3531441,34.3610908,
10,DJF,1,1980,1/10/1980,1021.815733,326.8930438,36.09054721,
11,DJF,1,1980,1/11/1980,1023.809675,325.3450289,37.36935482,
12,DJF,1,1980,1/12/1980,1023.287644,327.5062187,38.18710029,
13,DJF,1,1980,1/13/1980,1022.469395,328.3282308,38.81298768,
14,DJF,1,1980,1/14/1980,1021.769215,318.5108908,38.20230464,
15,DJF,1,1980,1/15/1980,1020.713754,312.9661783,38.51410825,
16,DJF,1,1980,1/16/1980,1019.116931,315.9291669,40.85436162,
17,DJF,1,1980,1/17/1980,1018.899701,318.1145548,41.24392111,
18,DJF,1,1980,1/18/1980,1019.007335,315.4205757,40.68016277,
19,DJF,1,1980,1/19/1980,1017.152856,331.471766,35.16939852,
20,DJF,1,1980,1/20/1980,1018.170987,343.4293517,32.29749479,
21,DJF,1,1980,1/21/1980,1018.942675,347.3818656,31.42147776,
22,DJF,1,1980,1/22/1980,1018.708759,340.8322844,28.45992968,
23,DJF,1,1980,1/23/1980,1018.162599,334.8830383,27.42538325,
24,DJF,1,1980,1/24/1980,1017.779466,338.11765,26.83471222,
25,DJF,1,1980,1/25/1980,1017.677136,339.8179258,28.45374995,
26,DJF,1,1980,1/26/1980,1017.992393,335.8722461,30.1465115,
27,DJF,1,1980,1/27/1980,1017.918679,335.9108891,32.52118976,
28,DJF,1,1980,1/28/1980,1018.069958,344.7640167,33.1285648,
29,DJF,1,1980,1/29/1980,1017.939819,342.5580082,31.52253408,
30,DJF,1,1980,1/30/1980,1018.141754,340.6534413,30.55921836,
31,DJF,1,1980,1/31/1980,1018.219455,337.3800514,30.27377319,
32,DJF,2,1980,2/1/1980,1019.094727,342.0036201,31.86894336,
33,DJF,2,1980,2/2/1980,1021.291273,344.1100784,32.87469031,
34,DJF,2,1980,2/3/1980,1021.700195,340.0441048,32.39696549,
35,DJF,2,1980,2/4/1980,1020.808221,336.40593,32.34599856,
36,DJF,2,1980,2/5/1980,1019.124722,337.8338427,32.31247526,
37,DJF,2,1980,2/6/1980,1018.89616,329.488571,31.76798389,
38,DJF,2,1980,2/7/1980,1019.088794,328.3267742,32.90900388,
39,DJF,2,1980,2/8/1980,1018.371216,335.2339845,32.53144895,
40,DJF,2,1980,2/9/1980,1018.132024,337.7697493,32.13252375,
41,DJF,2,1980,2/10/1980,1018.874667,345.0232816,33.80413053,
42,DJF,2,1980,2/11/1980,1020.128556,343.579163,34.06907268,
43,DJF,2,1980,2/12/1980,1020.334748,342.2656288,32.65998763,
44,DJF,2,1980,2/13/1980,1020.23982,338.706073,31.4374589,
45,DJF,2,1980,2/14/1980,1019.678247,329.3267361,30.72919607,
46,DJF,2,1980,2/15/1980,1018.898007,334.3813481,30.55238716,
47,DJF,2,1980,2/16/1980,1020.194634,340.7904544,32.15063474,
48,DJF,2,1980,2/17/1980,1021.360736,337.2541314,33.13214177,
49,DJF,2,1980,2/18/1980,1020.781698,331.390894,33.53655069,
50,DJF,2,1980,2/19/1980,1021.953247,321.3668355,33.34062718,
51,DJF,2,1980,2/20/1980,1021.06873,323.1376288,33.32393724,
52,DJF,2,1980,2/21/1980,1019.622771,329.836705,32.22664597,
