"","Season","Month","Year","Pressure","Longitude","Latitude"
"1","DJF","1","1980","1018.08340028344","336.02121369654","31.6396403178107"
"2","MAM","4","1980","1017.5206919709","324.410434450153","31.2900484763586"
"3","JJA","7","1980","1019.37128019954","322.868868903991","32.9544189619614"
"4","SON","10","1980","1017.47253395916","330.750853834765","32.3528510751296"
"5","DJF","1","1981","1020.48247862019","337.135537382652","34.9576689788094"
"6","MAM","4","1981","1017.30815867553","324.320459776758","28.9590347121464"
"7","JJA","7","1981","1019.40330440593","326.391598661249","34.7017485736807"
"8","SON","10","1981","1017.75709852935","336.397471154943","34.245537488585"
"9","DJF","1","1982","1018.51261765278","328.97817531448","29.2527749771072"
"10","MAM","4","1982","1018.9122458993","326.533935911195","34.3073179164613"
"11","JJA","7","1982","1019.51348150353","322.888570046828","33.1545021899942"
"12","SON","10","1982","1018.33797036649","325.646860512156","33.6035656053607"
"13","DJF","1","1983","1020.60867348267","338.195395472508","33.5480620621549"
"14","MAM","4","1983","1017.88319633247","325.74958197315","33.8752312392474"
"15","JJA","7","1983","1019.97181275026","324.746682285579","34.5042316326276"
"16","SON","10","1983","1017.53593676574","330.247317232184","32.8464981306829"
"17","DJF","1","1984","1020.60171859185","331.24620286552","32.8902281102858"
"18","MAM","4","1984","1017.65615446566","320.602453671864","32.2557365068562"
"19","JJA","7","1984","1019.83761983699","324.643478618051","34.6086782685873"
"20","SON","10","1984","1017.54458458541","324.605337726759","32.6023422327477"
"21","DJF","1","1985","1018.36465760021","332.024119562369","30.2853554020188"
"22","MAM","4","1985","1018.52783496773","322.272526377825","30.8855934133204"
"23","JJA","7","1985","1019.33534154036","322.646696330952","33.6783334684939"
"24","SON","10","1985","1017.66978331414","327.754144691014","34.6911791459055"
"25","DJF","1","1986","1019.58524492411","329.696397384636","30.0712518093861"
"26","MAM","4","1986","1018.5896191258","325.553287225575","32.7251865871466"
"27","JJA","7","1986","1019.59747641387","322.848562880624","33.3927092126378"
"28","SON","10","1986","1018.99402471616","330.502008167788","34.4074736149429"
"29","DJF","1","1987","1019.05230845341","338.371045146311","30.585292058439"
"30","MAM","4","1987","1017.43831963247","328.23618909672","35.490317452909"
"31","JJA","7","1987","1018.72555553098","324.393397675012","33.2334254745157"
"32","SON","10","1987","1017.54140938053","325.684828554506","34.0458655852857"
"33","DJF","1","1988","1018.9191329828","330.683302666751","30.4668663725379"
"34","MAM","4","1988","1017.9137279494","324.524657874925","30.5349706166858"
"35","JJA","7","1988","1019.38360403643","321.030740845548","33.7026813571088"
"36","SON","10","1988","1017.31684121079","328.290711724201","33.6634804550408"
"37","DJF","1","1989","1022.12159651877","335.857516668272","33.6287936451817"
"38","MAM","4","1989","1018.77728405605","320.492933209721","32.5089673192411"
"39","JJA","7","1989","1019.32040529575","323.210694430006","34.555376472031"
"40","SON","10","1989","1017.30592009138","326.630400395168","34.5659663282188"
"41","DJF","1","1990","1019.87178027652","333.125390276525","30.4530770513095"
"42","MAM","4","1990","1019.22577788515","327.890037743571","35.5214138273194"
"43","JJA","7","1990","1019.84213675208","323.611487671315","34.3208526694237"
"44","SON","10","1990","1016.97830354593","327.043458774805","32.7125909219982"
"45","DJF","1","1991","1019.97992210562","331.132644945669","32.67867798743"
"46","MAM","4","1991","1018.44982367052","325.158063420205","32.8598960444719"
"47","JJA","7","1991","1019.29310596303","323.344246958541","32.6791710994004"
"48","SON","10","1991","1017.95524792905","325.543915550394","34.5118131914861"
"49","DJF","1","1992","1020.45924457125","341.337354282626","34.2906862899669"
"50","MAM","4","1992","1018.83442668144","327.712083410391","33.9496111429908"
