"","Season","Month","Year","Pressure","Longitude","Latitude"
"1","DJF","1","1980","1006.96429727366","317.768417570576","57.2612081203296"
"2","MAM","4","1980","1012.73660335552","322.90853011474","55.0750515411478"
"3","JJA","7","1980","1011.80647394377","312.888847861769","58.5455538899925"
"4","SON","10","1980","1009.59449565744","323.880044365361","59.5055029616959"
"5","DJF","1","1981","1006.86926486967","331.953271854224","64.062648715796"
"6","MAM","4","1981","1011.11393411649","327.326832517869","53.8881439469195"
"7","JJA","7","1981","1010.69181158898","311.451610500331","63.2006651906052"
"8","SON","10","1981","1010.35217269214","338.783687949798","61.6076571699794"
"9","DJF","1","1982","1007.51598044961","327.158737848665","57.4553773257114"
"10","MAM","4","1982","1009.97949290226","335.392048978049","63.2795477450135"
"11","JJA","7","1982","1011.67790711354","311.101236061686","61.9028787476439"
"12","SON","10","1982","1006.43580777198","332.254748208399","62.5879933756277"
"13","DJF","1","1983","1005.8077228645","340.425627797932","64.5558142138652"
"14","MAM","4","1983","1010.72721373271","351.011429400287","59.4971901555405"
"15","JJA","7","1983","1009.37938332057","312.758118400675","64.6613657252834"
"16","SON","10","1983","1009.39435227609","340.731300156214","62.0624958357349"
"17","DJF","1","1984","1005.77135225686","334.51813327913","63.2856228621394"
"18","MAM","4","1984","1012.46087075113","333.634043863622","56.6732463366016"
"19","JJA","7","1984","1010.61184113275","306.639865358767","63.2309762629821"
"20","SON","10","1984","1007.41070540588","331.725726082887","60.3866949496822"
"21","DJF","1","1985","1007.79632412749","318.949430993567","57.3805345390596"
"22","MAM","4","1985","1011.19127325203","325.363961329701","56.573427837561"
"23","JJA","7","1985","1011.06809730573","321.512258851334","61.3875310410566"
"24","SON","10","1985","1009.62714755242","324.507822931239","61.3352308629386"
"25","DJF","1","1986","1008.43148613755","319.000765133438","58.1536049632369"
"26","MAM","4","1986","1008.40063093086","334.324360657562","62.7742849957451"
"27","JJA","7","1986","1011.13668352998","305.101531477926","62.7660615524921"
"28","SON","10","1986","1006.50980204631","333.04882056761","63.6514207770502"
"29","DJF","1","1987","1007.51454914705","320.817401980358","57.781604900867"
"30","MAM","4","1987","1011.34587880986","327.221343703673","63.6372720287462"
"31","JJA","7","1987","1011.519931559","306.086725698037","60.1287483478331"
"32","SON","10","1987","1008.28184193175","325.928563400473","62.3498159826458"
"33","DJF","1","1988","1007.07710228194","331.317424808033","59.9034716108154"
"34","MAM","4","1988","1012.16373551132","330.760292931535","55.0043750435366"
"35","JJA","7","1988","1010.21063355273","319.941829442757","62.7970935350132"
"36","SON","10","1988","1009.50309471829","321.787254807182","61.6551458843458"
"37","DJF","1","1989","1003.22543841383","329.935513212174","63.6128752854597"
"38","MAM","4","1989","1009.39077644479","335.992236683633","63.2508790809711"
"39","JJA","7","1989","1009.83676312467","319.162857258579","64.9043283304673"
"40","SON","10","1989","1007.65519090345","320.138348840559","63.326566420195"
"41","DJF","1","1990","1001.69625780374","331.068422668716","60.2136512842329"
"42","MAM","4","1990","1009.0106880126","332.504940041411","66.1363326937398"
"43","JJA","7","1990","1010.24058696733","311.84814514302","62.7970519757754"
"44","SON","10","1990","1009.03430323929","326.346988917479","61.7888962999286"
"45","DJF","1","1991","1004.41220423966","321.052228053549","63.1407983112568"
"46","MAM","4","1991","1011.57771324741","326.625494479491","59.2272743239746"
"47","JJA","7","1991","1010.22777322888","320.892646168179","62.5988762831887"
"48","SON","10","1991","1008.89456377201","335.154222157065","63.299822195799"
"49","DJF","1","1992","1004.69547982432","321.423464899791","62.9984064107307"
"50","MAM","4","1992","1009.03724191711","336.595116554618","62.393728752586"
"51","JJA","7","1992","1011.06163622912","326.592071507121","63.1576051886014"
"52","SON","10","1992","1008.64142095235","328.585146009209","62.3685934668358"
"53","DJF","1","1993","1004.19879232915","330.562153176247","64.7111078219066"
"54","MAM","4","1993","1010.67876169512","336.413482811047","61.6116940472572"
"55","JJA","7","1993","1012.25011310317","323.852731593783","60.3752932977087"
"56","SON","10","1993","1008.60301999443","306.979037082849","62.2881943586392"
"57","DJF","1","1994","1005.59498438365","336.015880242507","60.4891580006247"
"58","MAM","4","1994","1009.46177527739","336.855830891844","61.8278280341162"
"59","JJA","7","1994","1009.07040205053","315.724914227469","64.0644788319829"
"60","SON","10","1994","1009.06765981533","325.802685139398","60.3329364148388"
"61","DJF","1","1995","1003.80121219404","338.983500611534","61.9023306858808"
